"fl_date","mkt_unique_carrier","branded_code_share","mkt_carrier","mkt_carrier_fl_num","op_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","crs_dep_time","dep_time","dep_delay","taxi_out","wheels_off","wheels_on","taxi_in","crs_arr_time","arr_time","arr_delay","cancelled","cancellation_code","diverted","dup","crs_elapsed_time","actual_elapsed_time","air_time","flights","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","first_dep_time","total_add_gtime","longest_add_gtime","no_name"
"2019-03-03","AA","AA_CODESHARE","AA",3558,"MQ","N853AE",3558,11298,"DFW","Dallas/Fort Worth, TX",12191,"HOU","Houston, TX",650,NULL,NULL,NULL,NULL,NULL,NULL,807,NULL,NULL,1,"B",0,"N",77,NULL,NULL,1,247,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-03-04","AA","AA_CODESHARE","AA",5834,"YV","N952LR",5834,14107,"PHX","Phoenix, AZ",11775,"FSD","Sioux Falls, SD",1312,NULL,NULL,NULL,NULL,NULL,NULL,1645,NULL,NULL,1,"B",0,"N",153,NULL,NULL,1,1081,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-04-29","AA","AA","AA",160,"AA","N160AN",160,13930,"ORD","Chicago, IL",13303,"MIA","Miami, FL",1643,1637,-6,12,1649,2013,6,2050,2019,-31,0,NULL,0,"N",187,162,144,1,1197,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-12-03","AA","AA_CODESHARE","AA",4056,"MQ","N821AE",4056,11042,"CLE","Cleveland, OH",12953,"LGA","New York, NY",916,NULL,NULL,NULL,NULL,NULL,NULL,1108,NULL,NULL,1,"C",0,"N",112,NULL,NULL,1,419,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-10-01","AA","AA_CODESHARE","AA",5122,"OH","N248PS",5122,10868,"CAE","Columbia, SC",11278,"DCA","Washington, DC",921,916,-5,10,926,1042,7,1050,1049,-1,0,NULL,0,"N",89,93,76,1,408,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-02-01","AA","AA","AA",217,"AA","N892NN",217,11057,"CLT","Charlotte, NC",12478,"JFK","New York, NY",740,738,-2,14,752,908,9,939,917,-22,0,NULL,0,"N",119,99,76,1,541,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-06-01","AA","AA_CODESHARE","AA",5726,"YV","N923FJ",5726,14730,"SDF","Louisville, KY",11298,"DFW","Dallas/Fort Worth, TX",1033,1029,-4,13,1042,1134,14,1150,1148,-2,0,NULL,0,"N",137,139,112,1,733,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-03-03","AA","AA","AA",2215,"AA","N109NN",2215,12478,"JFK","New York, NY",14771,"SFO","San Francisco, CA",2130,NULL,NULL,NULL,NULL,NULL,NULL,117,NULL,NULL,1,"B",0,"N",407,NULL,NULL,1,2586,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-11-01","AA","AA_CODESHARE","AA",5809,"YV","N902FJ",5809,11298,"DFW","Dallas/Fort Worth, TX",13158,"MAF","Midland/Odessa, TX",840,910,30,19,929,1024,3,951,1027,36,0,NULL,0,"N",71,77,55,1,309,30,0,6,0,0,NULL,NULL,NULL,NULL
"2019-11-01","AA","AA_CODESHARE","AA",5811,"YV","N931LR",5811,11298,"DFW","Dallas/Fort Worth, TX",12191,"HOU","Houston, TX",656,652,-4,21,713,756,2,812,758,-14,0,NULL,0,"N",76,66,43,1,247,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-06-01","AA","AA_CODESHARE","AA",5726,"YV","N923FJ",5726,11298,"DFW","Dallas/Fort Worth, TX",14730,"SDF","Louisville, KY",655,653,-2,14,707,940,6,1003,946,-17,0,NULL,0,"N",128,113,93,1,733,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-07-04","AA","AA_CODESHARE","AA",5561,"OH","N258PS",5561,11278,"DCA","Washington, DC",10599,"BHM","Birmingham, AL",2000,NULL,NULL,NULL,NULL,NULL,NULL,2100,NULL,NULL,1,"C",0,"N",120,NULL,NULL,1,653,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
