"fl_date","mkt_unique_carrier","branded_code_share","mkt_carrier","mkt_carrier_fl_num","op_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","crs_dep_time","dep_time","dep_delay","taxi_out","wheels_off","wheels_on","taxi_in","crs_arr_time","arr_time","arr_delay","cancelled","cancellation_code","diverted","dup","crs_elapsed_time","actual_elapsed_time","air_time","flights","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","first_dep_time","total_add_gtime","longest_add_gtime","no_name"
"2018-07-01","AS","AS_CODESHARE","AS",2002,"QX","N413QX",2002,14747,"SEA","Seattle, WA",16101,"YKM","Yakima, WA",1400,1429,29,17,1446,1511,4,1444,1515,31,0,NULL,0,"N",44,46,25,1,103,29,0,2,0,0,NULL,NULL,NULL,NULL
"2018-03-01","AS","AS","AS",281,"AS","N459AS",281,14771,"SFO","San Francisco, CA",14057,"PDX","Portland, OR",1710,NULL,NULL,NULL,NULL,NULL,NULL,1900,NULL,NULL,1,"C",0,"N",110,NULL,NULL,1,550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-10-01","AS","AS","AS",18,"AS","N467AS",18,14747,"SEA","Seattle, WA",12478,"JFK","New York, NY",2140,2135,-5,30,2205,533,36,604,609,5,0,NULL,0,"N",324,334,268,1,2422,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-04-01","AS","AS_CODESHARE","AS",3286,"KS","N682PA",3286,10299,"ANC","Anchorage, AK",11445,"DUT","Unalaska, AK",1335,NULL,NULL,NULL,NULL,NULL,NULL,1550,NULL,NULL,1,"B",0,"N",135,NULL,NULL,1,792,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-10-01","AS","AS_CODESHARE","AS",3296,"KS","N682PA",3296,10299,"ANC","Anchorage, AK",11445,"DUT","Unalaska, AK",1515,1501,-14,14,1515,1728,3,1730,1731,1,0,NULL,0,"N",135,150,133,1,792,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-03-01","AS","AS_CODESHARE","AS",2784,"QX","N620QX",2784,14771,"SFO","San Francisco, CA",10140,"ABQ","Albuquerque, NM",1835,NULL,NULL,NULL,NULL,NULL,NULL,2210,NULL,NULL,1,"C",0,"N",155,NULL,NULL,1,896,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-09-01","AS","AS_CODESHARE","AS",3287,"KS","N687PA",3287,11445,"DUT","Unalaska, AK",10299,"ANC","Anchorage, AK",1630,1630,0,8,1638,1845,7,1900,1852,-8,0,NULL,0,"N",150,142,127,1,792,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-02-01","AS","AS_CODESHARE","AS",3304,"OO","N189SY",3304,14831,"SJC","San Jose, CA",15376,"TUS","Tucson, AZ",1722,1722,0,11,1733,2010,4,2034,2014,-20,0,NULL,0,"N",132,112,97,1,722,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-05-01","AS","AS_CODESHARE","AS",3332,"OO","N197SY",3332,11259,"DAL","Dallas, TX",11278,"DCA","Washington, DC",1328,1325,-3,17,1342,1710,9,1716,1719,3,0,NULL,0,"N",168,174,148,1,1184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-04-01","AS","AS_CODESHARE","AS",3287,"KS","N682PA",3287,11445,"DUT","Unalaska, AK",10299,"ANC","Anchorage, AK",1630,NULL,NULL,NULL,NULL,NULL,NULL,1900,NULL,NULL,1,"B",0,"N",150,NULL,NULL,1,792,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-09-01","AS","AS_CODESHARE","AS",3299,"KS","N680PA",3299,11445,"DUT","Unalaska, AK",10299,"ANC","Anchorage, AK",1240,NULL,NULL,NULL,NULL,NULL,NULL,1510,NULL,NULL,1,"B",0,"N",150,NULL,NULL,1,792,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-03-01","AS","AS","AS",281,"AS","N459AS",281,14107,"PHX","Phoenix, AZ",14771,"SFO","San Francisco, CA",1455,1510,15,10,1520,NULL,NULL,1556,NULL,NULL,0,NULL,1,"N",121,NULL,NULL,1,651,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-08-03","AS","AS_CODESHARE","AS",2096,"QX","N408QX",2096,14747,"SEA","Seattle, WA",10275,"ALW","Walla Walla, WA",1006,NULL,NULL,NULL,NULL,NULL,NULL,1113,NULL,NULL,1,"C",0,"N",67,NULL,NULL,1,213,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-12-01","AS","AS","AS",15,"AS","N264AK",15,10721,"BOS","Boston, MA",14747,"SEA","Seattle, WA",1850,1846,-4,16,1902,2116,15,2223,2131,-52,0,NULL,0,"N",393,345,314,1,2496,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-08-01","AS","AS","AS",1,"AS","N529AS",1,11278,"DCA","Washington, DC",14747,"SEA","Seattle, WA",803,757,-6,12,809,1022,11,1058,1033,-25,0,NULL,0,"N",355,336,313,1,2329,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-06-01","AS","AS_CODESHARE","AS",2020,"QX","N443QX",2020,14747,"SEA","Seattle, WA",10275,"ALW","Walla Walla, WA",1725,1718,-7,12,1730,1810,3,1819,1813,-6,0,NULL,0,"N",54,55,40,1,213,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-04-01","AS","AS_CODESHARE","AS",3306,"OO","N173SY",3306,14057,"PDX","Portland, OR",10713,"BOI","Boise, ID",1840,1834,-6,20,1854,2041,4,2050,2045,-5,0,NULL,0,"N",70,71,47,1,344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-09-01","AS","AS_CODESHARE","AS",2001,"QX","N451QX",2001,16101,"YKM","Yakima, WA",14747,"SEA","Seattle, WA",500,447,-13,8,455,522,3,540,525,-15,0,NULL,0,"N",40,38,27,1,103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-04-01","AS","AS_CODESHARE","AS",3298,"KS","N682PA",3298,10299,"ANC","Anchorage, AK",11445,"DUT","Unalaska, AK",945,NULL,NULL,NULL,NULL,NULL,NULL,1200,NULL,NULL,1,"B",0,"N",135,NULL,NULL,1,792,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-11-01","AS","AS","AS",4,"AS","N559AS",4,14747,"SEA","Seattle, WA",11278,"DCA","Washington, DC",800,753,-7,38,831,1602,3,1615,1605,-10,0,NULL,0,"N",315,312,271,1,2329,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-08-01","AS","AS","AS",3,"AS","N535AS",3,11278,"DCA","Washington, DC",14747,"SEA","Seattle, WA",1855,1846,-9,26,1912,2138,18,2153,2156,3,0,NULL,0,"N",358,370,326,1,2329,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-01-01","AS","AS","AS",35,"AS","N493AS",35,11697,"FLL","Fort Lauderdale, FL",14747,"SEA","Seattle, WA",1831,1825,-6,25,1850,2146,6,2224,2152,-32,0,"",0,"N",413,387,356,1,2717,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL
"2018-07-01","AS","AS_CODESHARE","AS",2009,"QX","N416QX",2009,14057,"PDX","Portland, OR",14489,"RDM","Bend/Redmond, OR",2120,2112,-8,9,2121,2147,2,2200,2149,-11,0,NULL,0,"N",40,37,26,1,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-02-01","AS","AS_CODESHARE","AS",3301,"OO","N189SY",3301,10423,"AUS","Austin, TX",14831,"SJC","San Jose, CA",1445,1443,-2,12,1455,1622,4,1640,1626,-14,0,NULL,0,"N",235,223,207,1,1476,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-06-01","AS","AS_CODESHARE","AS",2012,"QX","N442QX",2012,14057,"PDX","Portland, OR",10849,"BZN","Bozeman, MT",1654,1650,-4,6,1656,1921,5,1940,1926,-14,0,NULL,0,"N",106,96,85,1,554,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-01-01","AS","AS","AS",38,"AS","N493AS",38,14747,"SEA","Seattle, WA",11697,"FLL","Fort Lauderdale, FL",830,823,-7,21,844,1649,5,1726,1654,-32,0,"",0,"N",356,331,305,1,2717,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL
"2018-05-01","AS","AS_CODESHARE","AS",3331,"OO","N188SY",3331,10800,"BUR","Burbank, CA",14831,"SJC","San Jose, CA",1326,1309,-17,11,1320,1408,7,1440,1415,-25,0,NULL,0,"N",74,66,48,1,296,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-06-01","AS","AS_CODESHARE","AS",2001,"QX","N450QX",2001,16101,"YKM","Yakima, WA",14747,"SEA","Seattle, WA",500,459,-1,6,505,535,5,539,540,1,0,NULL,0,"N",39,41,30,1,103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-01-01","AS","AS","AS",37,"AS","N409AS",37,13487,"MSP","Minneapolis, MN",14747,"SEA","Seattle, WA",1622,1632,10,21,1653,1801,7,1828,1808,-20,0,"",0,"N",246,216,188,1,1399,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL
"2018-04-01","AS","AS_CODESHARE","AS",3299,"KS","N682PA",3299,11445,"DUT","Unalaska, AK",10299,"ANC","Anchorage, AK",1240,NULL,NULL,NULL,NULL,NULL,NULL,1510,NULL,NULL,1,"B",0,"N",150,NULL,NULL,1,792,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-10-01","AS","AS_CODESHARE","AS",3297,"KS","N682PA",3297,11445,"DUT","Unalaska, AK",10299,"ANC","Anchorage, AK",1810,1809,-1,2,1811,2024,3,2040,2027,-13,0,NULL,0,"N",150,138,133,1,792,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-07-01","AS","AS_CODESHARE","AS",2003,"QX","N413QX",2003,16101,"YKM","Yakima, WA",14747,"SEA","Seattle, WA",1523,1546,23,4,1550,1620,9,1607,1629,22,0,NULL,0,"N",44,43,30,1,103,0,0,0,0,22,NULL,NULL,NULL,NULL
"2018-03-02","AS","AS","AS",783,"AS","N280AK",783,11618,"EWR","Newark, NJ",14831,"SJC","San Jose, CA",1700,NULL,NULL,NULL,NULL,NULL,NULL,2032,NULL,NULL,1,"B",0,"N",392,NULL,NULL,1,2548,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-05-01","AS","AS_CODESHARE","AS",3330,"OO","N179SY",3330,11259,"DAL","Dallas, TX",11278,"DCA","Washington, DC",630,618,-12,14,632,1002,3,1018,1005,-13,0,NULL,0,"N",168,167,150,1,1184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-06-01","AS","AS_CODESHARE","AS",2030,"QX","N443QX",2030,14747,"SEA","Seattle, WA",13127,"LWS","Lewiston, ID",940,934,-6,7,941,1025,6,1046,1031,-15,0,NULL,0,"N",66,57,44,1,261,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-02-01","AS","AS_CODESHARE","AS",3303,"OO","N176SY",3303,15376,"TUS","Tucson, AZ",14831,"SJC","San Jose, CA",749,735,-14,24,759,850,7,919,857,-22,0,NULL,0,"N",150,142,111,1,722,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-11-01","AS","AS","AS",2,"AS","N526AS",2,14747,"SEA","Seattle, WA",11278,"DCA","Washington, DC",1340,1338,-2,18,1356,2120,4,2151,2124,-27,0,NULL,0,"N",311,286,264,1,2329,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-09-01","AS","AS_CODESHARE","AS",3286,"KS","N687PA",3286,10299,"ANC","Anchorage, AK",11445,"DUT","Unalaska, AK",1335,1334,-1,2,1336,1542,3,1550,1545,-5,0,NULL,0,"N",135,131,126,1,792,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-08-01","AS","AS","AS",2,"AS","N592AS",2,14747,"SEA","Seattle, WA",11278,"DCA","Washington, DC",1347,1358,11,15,1413,2216,2,2158,2218,20,0,NULL,0,"N",311,320,303,1,2329,11,0,9,0,0,NULL,NULL,NULL,NULL
