"fl_date","mkt_unique_carrier","branded_code_share","mkt_carrier","mkt_carrier_fl_num","op_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","crs_dep_time","dep_time","dep_delay","taxi_out","wheels_off","wheels_on","taxi_in","crs_arr_time","arr_time","arr_delay","cancelled","cancellation_code","diverted","dup","crs_elapsed_time","actual_elapsed_time","air_time","flights","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","first_dep_time","total_add_gtime","longest_add_gtime","no_name"
"2018-05-01","B6","B6","B6",16,"B6","N980JB",16,14771,"SFO","San Francisco, CA",12478,"JFK","New York, NY",700,652,-8,19,711,1512,6,1538,1518,-20,0,NULL,0,"N",338,326,301,1,2586,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-08-01","B6","B6","B6",2890,"B6","N663JB",2890,14843,"SJU","San Juan, PR",11618,"EWR","Newark, NJ",208,228,20,13,241,608,6,608,614,6,0,NULL,0,"N",240,226,207,1,1608,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-01-01","B6","B6","B6",4,"B6","N965JB",4,14843,"SJU","San Juan, PR",12478,"JFK","New York, NY",1700,1725,25,23,1748,2031,14,2008,2045,37,0,"",0,"N",248,260,223,1,1598,0,0,12,0,25,"",NULL,NULL,NULL
"2018-05-01","B6","B6","B6",8,"B6","N779JB",8,12889,"LAS","Las Vegas, NV",11697,"FLL","Fort Lauderdale, FL",2356,2348,-8,10,2358,712,6,734,718,-16,0,NULL,0,"N",278,270,254,1,2173,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-03-02","B6","B6","B6",1331,"B6","N307JB",1331,10721,"BOS","Boston, MA",12953,"LGA","New York, NY",1710,NULL,NULL,NULL,NULL,NULL,NULL,1846,NULL,NULL,1,"B",0,"N",96,NULL,NULL,1,184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-04-01","B6","B6","B6",7,"B6","N763JB",7,11697,"FLL","Fort Lauderdale, FL",12889,"LAS","Las Vegas, NV",2031,2016,-15,16,2032,2230,6,2306,2236,-30,0,NULL,0,"N",335,320,298,1,2173,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-06-01","B6","B6","B6",1184,"B6","N970JB",1184,13204,"MCO","Orlando, FL",12478,"JFK","New York, NY",1951,2110,79,13,2123,2337,11,2236,2348,72,0,NULL,0,"N",165,158,134,1,944,0,0,72,0,0,NULL,NULL,NULL,NULL
"2018-10-01","B6","B6","B6",42,"B6","N796JB",42,12954,"LGB","Long Beach, CA",14570,"RNO","Reno, NV",1138,1150,12,13,1203,1303,4,1300,1307,7,0,NULL,0,"N",82,77,60,1,402,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-09-01","B6","B6","B6",8,"B6","N638JB",8,12889,"LAS","Las Vegas, NV",11697,"FLL","Fort Lauderdale, FL",2150,2209,19,14,2223,542,7,548,549,1,0,NULL,0,"N",298,280,259,1,2173,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-09-01","B6","B6","B6",54,"B6","N956JB",54,14027,"PBI","West Palm Beach/Palm Beach, FL",12478,"JFK","New York, NY",715,719,4,19,738,954,6,958,1000,2,0,NULL,0,"N",163,161,136,1,1028,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
