fl_date,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,dest_airport_id,dest,dep_delay,taxi_out,taxi_in,air_time,distance,arr_delay
2018-02-01,AA,3366,MQ,N233NN,3366,15016,STL,13930,ORD,-1,10,11,58,258,-2
2018-10-01,AA,2863,EV,N613QX,2863,11298,DFW,11980,GRI,-5,19,4,77,561,-8
2018-06-01,AA,3315,MQ,N655AE,3315,12992,LIT,11298,DFW,-9,10,9,49,304,-34
2018-01-01,AA,5476,OH,N503AE,5476,11278,DCA,13244,MEM,154,12,3,122,762,143
2018-05-01,AA,3542,MQ,N542EA,3542,15096,SYR,13930,ORD,-3,8,12,94,607,-22
2018-10-01,AA,2861,EV,N716EV,2861,10781,BTR,11298,DFW,26,10,10,61,383,15
2018-01-01,AA,5477,OH,N571NN,5477,11057,CLT,14730,SDF,-3,22,5,61,335,-3
2018-11-01,AA,2756,AA,N824NN,2756,12266,IAH,13303,MIA,-3,29,8,146,964,25
2018-02-01,AA,3403,MQ,N693AE,3403,13930,ORD,14633,RST,-2,56,4,47,268,34
2018-01-01,AA,5476,OH,N503AE,5476,13244,MEM,11278,DCA,157,1,10,90,762,138
2018-04-01,AA,3325,MQ,N800AE,3325,15411,TYR,11298,DFW,7,16,13,27,102,1
2018-02-01,AA,3366,MQ,N233NN,3366,13930,ORD,15016,STL,-6,18,3,53,258,-7
2018-07-01,AA,4400,YX,N136HQ,4400,11433,DTW,14100,PHL,-4,16,17,70,453,-3
2018-08-01,AA,5038,OH,N553NN,5038,11057,CLT,12264,IAD,3,13,6,58,322,-3
2018-05-01,AA,3541,MQ,N237NN,3541,11298,DFW,13851,OKC,45,12,5,36,175,33
2018-10-01,AA,2860,EV,N617QX,2860,11057,CLT,13342,MKE,-4,20,5,103,651,-3
2018-07-01,AA,4386,YX,N130HQ,4386,14100,PHL,14730,SDF,-1,31,24,87,576,11
2018-11-01,AA,2776,AA,N167AN,2776,12892,LAX,13930,ORD,6,15,6,218,1744,3
2018-06-01,AA,3317,MQ,N229NN,3317,11298,DFW,12992,LIT,-3,24,7,61,304,15
2018-12-01,AA,5015,OH,N519AE,5015,11267,DAY,14100,PHL,-9,11,9,64,477,-26
2018-11-01,AA,2775,AA,N935NN,2775,12889,LAS,13930,ORD,1,28,16,192,1514,11
