fl_date,mkt_carrier,dep_delay,taxi_out,taxi_in,air_time,distance,arr_delay
2018-02-01,AA,-1,10,11,58,258,-2
2018-10-01,AA,-5,19,4,77,561,-8
2018-06-01,AA,-9,10,9,49,304,-34
2018-01-01,AA,154,12,3,122,762,143
2018-05-01,AA,-3,8,12,94,607,-22
2018-10-01,AA,26,10,10,61,383,15
2018-01-01,AA,-3,22,5,61,335,-3
2018-11-01,AA,-3,29,8,146,964,25
2018-02-01,AA,-2,56,4,47,268,34
2018-01-01,AA,157,1,10,90,762,138
2018-04-01,AA,7,16,13,27,102,1
2018-02-01,AA,-6,18,3,53,258,-7
2018-07-01,AA,-4,16,17,70,453,-3
2018-08-01,AA,3,13,6,58,322,-3
2018-05-01,AA,45,12,5,36,175,33
2018-10-01,AA,-4,20,5,103,651,-3
2018-07-01,AA,-1,31,24,87,576,11
2018-11-01,AA,6,15,6,218,1744,3
2018-06-01,AA,-3,24,7,61,304,15
2018-12-01,AA,-9,11,9,64,477,-26
2018-11-01,AA,1,28,16,192,1514,11
2018-08-01,AA,25,13,10,70,370,19
2018-04-01,AA,-3,21,5,41,280,-2
2018-08-01,AA,55,11,32,55,290,61
2018-08-01,AA,0,38,3,50,290,19
2018-08-01,AA,131,11,5,79,437,135
2018-05-01,AA,22,11,13,37,175,19
2018-10-01,AA,-13,15,3,67,453,-27
2018-11-01,AA,-5,19,15,80,431,-4
2018-04-01,AA,-10,26,12,57,299,6
2018-02-01,AA,-8,22,16,88,474,2
2018-01-01,AA,4,14,2,66,406,1
2018-01-01,AA,20,41,3,87,466,44
2018-05-01,AA,-4,15,14,120,849,-19
2018-05-01,AA,-1,22,3,82,607,7
2018-11-01,AA,36,26,14,51,282,41
2018-02-01,AA,-1,22,2,61,474,-8
2018-10-01,AA,-5,28,5,55,327,6
2018-06-01,AA,86,35,12,72,431,96
2018-06-01,AA,-6,14,5,54,304,-10
2019-04-29,AA,-6,12,6,144,1197,-31
2019-10-01,AA,-5,10,7,76,408,-1
2019-02-01,AA,-2,14,9,76,541,-22
2019-06-01,AA,-4,13,14,112,733,-2
2019-11-01,AA,30,19,3,55,309,36
2019-11-01,AA,-4,21,2,43,247,-14
2019-06-01,AA,-2,14,6,93,733,-17
2019-11-01,AA,-11,11,11,100,597,-14
2019-01-01,AA,-1,30,3,76,490,0
2019-08-01,AA,79,14,6,50,325,78
2019-02-01,AA,-2,20,5,291,2218,-21
2019-06-01,AA,-5,28,17,44,237,8
2019-08-01,AA,73,13,8,155,1235,53
2019-05-01,AA,-7,17,6,37,204,-14
2019-01-01,AA,1,10,20,40,157,-3
2019-09-01,AA,-2,16,4,315,2475,-24
2019-09-01,AA,207,15,8,397,3711,192
2019-10-01,AA,-7,10,15,86,573,-22
2019-02-01,AA,17,26,5,94,650,12
2019-11-01,AA,5,20,5,99,737,3
2019-06-01,AA,-4,28,10,274,2300,8
2019-10-01,AA,-4,12,6,24,88,-27
2019-04-29,AA,-6,18,7,337,2475,-26
2019-04-29,AA,96,13,9,288,2475,72
2019-09-01,AA,-2,12,8,159,1235,-27
2019-05-01,AA,-4,10,7,132,1038,-16
2019-04-29,AA,-6,16,17,349,2475,-11
2019-02-01,AA,-5,19,5,140,1211,-13
2019-07-01,AA,-1,16,8,164,1283,-21
2019-06-01,AA,-3,17,3,45,237,-5
2019-02-01,AA,43,20,8,133,867,23
2019-11-01,AA,31,17,16,51,309,36
2019-07-01,AA,-3,15,6,26,109,-13
2019-01-01,AA,0,7,3,74,490,-24
2019-09-01,AA,26,17,4,447,3784,-1
2019-08-01,AA,-2,16,4,127,1037,-18
2019-08-01,AA,-2,47,17,178,1389,12
2019-05-01,AA,-6,15,9,72,427,-10
2019-05-01,AA,-2,22,5,70,427,-12
2019-10-01,AA,-14,8,4,63,408,-31
2019-05-01,AA,-2,10,6,29,126,-2
2019-09-01,AA,-3,15,7,404,3784,-23
2018-07-01,AS,29,17,4,25,103,31
2018-10-01,AS,-5,30,36,268,2422,5
2018-10-01,AS,-14,14,3,133,792,1
2018-09-01,AS,0,8,7,127,792,-8
2018-02-01,AS,0,11,4,97,722,-20
2018-05-01,AS,-3,17,9,148,1184,3
2018-12-01,AS,-4,16,15,314,2496,-52
2018-08-01,AS,-6,12,11,313,2329,-25
2018-06-01,AS,-7,12,3,40,213,-6
2018-04-01,AS,-6,20,4,47,344,-5
2018-09-01,AS,-13,8,3,27,103,-15
2018-11-01,AS,-7,38,3,271,2329,-10
2018-08-01,AS,-9,26,18,326,2329,3
2018-01-01,AS,-6,25,6,356,2717,-32
2018-07-01,AS,-8,9,2,26,116,-11
2018-02-01,AS,-2,12,4,207,1476,-14
2018-06-01,AS,-4,6,5,85,554,-14
2018-01-01,AS,-7,21,5,305,2717,-32
2018-05-01,AS,-17,11,7,48,296,-25
2018-06-01,AS,-1,6,5,30,103,1
2018-01-01,AS,10,21,7,188,1399,-20
2018-10-01,AS,-1,2,3,133,792,-13
2018-07-01,AS,23,4,9,30,103,22
2018-05-01,AS,-12,14,3,150,1184,-13
2018-06-01,AS,-6,7,6,44,261,-15
2018-02-01,AS,-14,24,7,111,722,-22
2018-11-01,AS,-2,18,4,264,2329,-27
2018-09-01,AS,-1,2,3,126,792,-5
2018-08-01,AS,11,15,2,303,2329,20
2018-01-01,AS,-9,45,4,173,1399,12
2018-08-01,AS,107,14,8,350,2717,88
2018-01-01,AS,10,28,4,88,571,27
2018-10-01,AS,2,11,16,191,1721,-30
2018-05-01,AS,-7,15,7,228,1450,-12
2018-06-01,AS,-4,12,5,53,213,4
2018-07-01,AS,-2,9,2,26,103,-7
2018-11-01,AS,7,12,8,287,2554,-10
2018-07-01,AS,-9,6,5,29,103,-8
2018-05-01,AS,-11,21,18,54,308,-12
2018-12-01,AS,12,20,6,302,2378,-31
2018-12-01,AS,-9,24,28,311,2554,16
2018-11-01,AS,-3,23,6,339,2329,5
2018-03-01,AS,-4,11,5,33,129,-10
2018-12-01,AS,48,13,4,41,204,55
2018-02-01,AS,-6,13,5,111,838,-19
2018-11-01,AS,-18,17,5,338,2329,-14
2018-12-01,AS,6,23,11,312,2422,38
2018-02-01,AS,-13,18,4,198,1476,7
2019-12-01,AS,17,6,6,42,213,4
2019-01-01,AS,0,24,5,192,1476,9
2019-05-01,AS,-6,20,4,282,2329,-15
2019-02-01,AS,-1,3,4,123,792,-21
2019-11-01,AS,-7,10,5,94,630,-23
2019-02-01,AS,-6,28,8,335,2329,0
2019-04-01,AS,-1,44,4,161,1430,-2
2019-09-01,AS,-10,10,4,124,817,-12
2019-04-01,AS,-5,7,3,24,103,-16
2019-09-01,AS,-7,13,4,72,479,-13
2019-02-01,AS,-5,4,3,142,792,9
2019-05-01,AS,-5,22,12,288,2402,-13
2019-03-01,AS,-2,17,15,168,1399,-2
2019-08-01,AS,9,13,4,201,1476,2
2019-07-01,AS,-5,14,7,99,689,-20
2019-03-01,AS,31,23,3,297,2717,9
2019-06-01,AS,-6,15,2,197,1542,-12
2019-03-01,AS,9,89,7,207,1399,72
2019-12-01,AS,0,30,8,25,103,17
2019-11-01,AS,-3,9,4,96,722,-19
2019-06-01,AS,-8,10,6,191,1542,-16
2019-01-01,AS,-3,17,3,55,399,-12
2019-06-01,AS,-6,7,4,188,1533,-22
2019-01-01,AS,14,25,5,225,1450,14
2019-08-01,AS,202,5,3,132,792,198
2019-10-01,AS,-5,17,12,79,508,-12
2019-10-01,AS,4,14,8,216,1626,7
2019-03-01,AS,-16,15,4,37,234,-20
2019-06-01,AS,1,18,22,301,2586,-3
2019-12-01,AS,-8,27,4,33,103,4
2019-02-01,AS,18,5,2,118,792,-7
2019-11-01,AS,-9,13,5,103,722,-28
2019-11-01,AS,-5,12,7,86,630,0
2019-07-01,AS,-8,17,7,207,1476,-2
2019-11-01,AS,-3,17,4,68,479,-9
2019-07-01,AS,-10,11,4,74,543,-21
2019-10-01,AS,0,19,7,211,1626,-23
2019-07-01,AS,-5,8,16,101,722,-5
2019-04-01,AS,-7,6,3,25,106,-13
2019-01-01,AS,-8,17,3,149,1164,-11
2019-12-01,AS,-3,22,6,84,399,6
2019-08-01,AS,214,3,4,122,792,208
2019-10-01,AS,-8,15,13,58,400,-22
2019-06-01,AS,0,33,7,333,2475,-7
2019-09-01,AS,-13,9,6,97,722,-41
2019-01-01,AS,-3,10,6,186,1450,-9
2019-05-01,AS,-7,16,27,318,2422,-26
2019-09-01,AS,0,16,5,106,722,2
2019-04-01,AS,-6,10,11,55,279,-10
2019-05-01,AS,-4,35,8,313,2329,-8
2019-09-01,AS,-10,11,10,88,630,-1
2019-07-01,AS,-7,21,5,196,1476,-10
2019-03-01,AS,-7,16,9,388,2717,-9
2019-02-01,AS,-4,16,2,142,792,21
2019-04-01,AS,-5,17,4,253,1670,-11
2019-10-01,AS,-10,29,3,160,1182,-8
