"fl_date","mkt_unique_carrier","branded_code_share","mkt_carrier","mkt_carrier_fl_num","op_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","crs_dep_time","dep_time","dep_delay","taxi_out","wheels_off","wheels_on","taxi_in","crs_arr_time","arr_time","arr_delay","cancelled","cancellation_code","diverted","dup","crs_elapsed_time","actual_elapsed_time","air_time","flights","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","first_dep_time","total_add_gtime","longest_add_gtime","no_name"
"2019-02-01","DL","DL_CODESHARE","DL",5071,"9E","N904XJ",5071,11193,"CVG","Cincinnati, OH",11278,"DCA","Washington, DC",1224,1221,-3,30,1251,1350,5,1348,1355,7,0,NULL,0,"N",84,94,59,1,411,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-07-01","DL","DL_CODESHARE","DL",3519,"OO","N254SY",3519,14252,"PSC","Pasco/Kennewick/Richland, WA",13487,"MSP","Minneapolis, MN",1333,1326,-7,13,1339,1818,4,1839,1822,-17,0,NULL,0,"N",186,176,159,1,1254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-05-01","DL","DL_CODESHARE","DL",5004,"9E","N935XJ",5004,12478,"JFK","New York, NY",10792,"BUF","Buffalo, NY",1312,1307,-5,19,1326,1421,3,1439,1424,-15,0,NULL,0,"N",87,77,55,1,301,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-05-01","DL","DL_CODESHARE","DL",5005,"9E","N915XJ",5005,11433,"DTW","Detroit, MI",14683,"SAT","San Antonio, TX",836,835,-1,26,901,1107,4,1054,1111,17,0,NULL,0,"N",198,216,186,1,1214,0,0,17,0,0,NULL,NULL,NULL,NULL
"2019-04-30","DL","DL_CODESHARE","DL",5870,"YX","N204JQ",5870,12953,"LGA","New York, NY",15016,"STL","St. Louis, MO",1030,1021,-9,37,1058,1212,5,1232,1217,-15,0,NULL,0,"N",182,176,134,1,888,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-07-01","DL","DL_CODESHARE","DL",3517,"OO","N271SY",3517,13342,"MKE","Milwaukee, WI",12953,"LGA","New York, NY",624,621,-3,16,637,924,4,943,928,-15,0,NULL,0,"N",139,127,107,1,738,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-01","DL","DL_CODESHARE","DL",5360,"9E","N138EV",5360,10721,"BOS","Boston, MA",12478,"JFK","New York, NY",1420,1842,262,32,1914,1957,23,1551,2020,269,0,NULL,0,"N",91,98,43,1,187,0,0,20,0,249,NULL,NULL,NULL,NULL
"2019-09-01","DL","DL_CODESHARE","DL",3430,"9E","N349PQ",3430,13367,"MLI","Moline, IL",10397,"ATL","Atlanta, GA",600,552,-8,25,617,848,7,901,855,-6,0,NULL,0,"N",121,123,91,1,633,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-07-01","DL","DL_CODESHARE","DL",3520,"OO","N829SK",3520,11423,"DSM","Des Moines, IA",11433,"DTW","Detroit, MI",1415,1411,-4,13,1424,1640,14,1701,1654,-7,0,NULL,0,"N",106,103,76,1,534,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-01","DL","DL_CODESHARE","DL",5358,"9E","N292PQ",5358,10781,"BTR","Baton Rouge, LA",10397,"ATL","Atlanta, GA",600,553,-7,14,607,812,8,841,820,-21,0,NULL,0,"N",101,87,65,1,448,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
