"fl_date","mkt_unique_carrier","branded_code_share","mkt_carrier","mkt_carrier_fl_num","op_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","crs_dep_time","dep_time","dep_delay","taxi_out","wheels_off","wheels_on","taxi_in","crs_arr_time","arr_time","arr_delay","cancelled","cancellation_code","diverted","dup","crs_elapsed_time","actual_elapsed_time","air_time","flights","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","first_dep_time","total_add_gtime","longest_add_gtime","no_name"
"2018-05-01","F9","F9","F9",1002,"F9","N203FR",1002,13303,"MIA","Miami, FL",14100,"PHL","Philadelphia, PA",1153,1148,-5,16,1204,1425,10,1448,1435,-13,0,NULL,0,"N",175,167,141,1,1013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-02-01","F9","F9","F9",1880,"F9","N201FR",1880,14107,"PHX","Phoenix, AZ",13204,"MCO","Orlando, FL",715,714,-1,19,733,1304,6,1323,1310,-13,0,NULL,0,"N",248,236,211,1,1849,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-06-01","F9","F9","F9",1093,"F9",NULL,1093,14100,"PHL","Philadelphia, PA",11986,"GRR","Grand Rapids, MI",800,NULL,NULL,NULL,NULL,NULL,NULL,1006,NULL,NULL,1,"A",0,"N",126,NULL,NULL,1,573,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-11-01","F9","F9","F9",1394,"F9",NULL,1394,15304,"TPA","Tampa, FL",11042,"CLE","Cleveland, OH",1106,NULL,NULL,NULL,NULL,NULL,NULL,1340,NULL,NULL,1,"A",0,"N",154,NULL,NULL,1,927,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-02-01","F9","F9","F9",670,"F9","N949FR",670,14771,"SFO","San Francisco, CA",11292,"DEN","Denver, CO",59,53,-6,16,109,412,6,430,418,-12,0,NULL,0,"N",151,145,123,1,967,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-12-01","F9","F9","F9",1469,"F9","N202FR",1469,13204,"MCO","Orlando, FL",10599,"BHM","Birmingham, AL",1740,1827,47,9,1836,1848,6,1815,1854,39,0,NULL,0,"N",95,87,72,1,479,16,0,0,0,23,NULL,NULL,NULL,NULL
"2018-04-01","F9","F9","F9",1508,"F9","N205FR",1508,13342,"MKE","Milwaukee, WI",13303,"MIA","Miami, FL",645,635,-10,17,652,1030,12,1103,1042,-21,0,NULL,0,"N",198,187,158,1,1258,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-03-01","F9","F9","F9",1993,"F9","N211FR",1993,13485,"MSN","Madison, WI",12889,"LAS","Las Vegas, NV",1532,1522,-10,11,1533,1654,7,1719,1701,-18,0,NULL,0,"N",227,219,201,1,1454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-10-01","F9","F9","F9",681,"F9",NULL,681,13204,"MCO","Orlando, FL",11292,"DEN","Denver, CO",700,NULL,NULL,NULL,NULL,NULL,NULL,900,NULL,NULL,1,"A",0,"N",240,NULL,NULL,1,1546,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-06-01","F9","F9","F9",578,"F9",NULL,578,14869,"SLC","Salt Lake City, UT",11292,"DEN","Denver, CO",1115,NULL,NULL,NULL,NULL,NULL,NULL,1249,NULL,NULL,1,"A",0,"N",94,NULL,NULL,1,391,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-01-01","F9","F9","F9",1658,"F9","N720FR",1658,13204,"MCO","Orlando, FL",14843,"SJU","San Juan, PR",2013,2015,2,27,2042,3,6,4,9,5,0,"",0,"N",171,174,141,1,1189,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL
"2018-11-01","F9","F9","F9",1851,"F9","N710FR",1851,12391,"ISP","Islip, NY",13577,"MYR","Myrtle Beach, SC",1148,1224,36,11,1235,NULL,NULL,1339,NULL,NULL,0,NULL,1,"N",111,NULL,NULL,1,586,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-09-01","F9","F9","F9",1752,"F9","N202FR",1752,11109,"COS","Colorado Springs, CO",13204,"MCO","Orlando, FL",1926,1924,-2,8,1932,25,7,104,32,-32,0,NULL,0,"N",218,188,173,1,1520,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-08-01","F9","F9","F9",200,"F9","N201FR",200,11292,"DEN","Denver, CO",11057,"CLT","Charlotte, NC",16,16,0,13,29,505,14,530,519,-11,0,NULL,0,"N",194,183,156,1,1337,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
