"fl_date","mkt_unique_carrier","branded_code_share","mkt_carrier","mkt_carrier_fl_num","op_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","crs_dep_time","dep_time","dep_delay","taxi_out","wheels_off","wheels_on","taxi_in","crs_arr_time","arr_time","arr_delay","cancelled","cancellation_code","diverted","dup","crs_elapsed_time","actual_elapsed_time","air_time","flights","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","first_dep_time","total_add_gtime","longest_add_gtime","no_name"
"2018-08-01","G4","G4","G4",1206,"G4","222NV",1206,10431,"AVL","Asheville, NC",14082,"PGD","Punta Gorda, FL",700,651,-9,9,700,826,7,841,833,-8,0,NULL,0,"N",101,102,86,1,588,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-02-01","G4","G4","G4",773,"G4","246NV",773,11823,"FWA","Fort Wayne, IN",14761,"SFB","Sanford, FL",1038,1032,-6,9,1041,1241,6,1255,1247,-8,0,NULL,0,"N",137,135,120,1,870,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-04-01","G4","G4","G4",703,"G4","217NV",703,10980,"CHA","Chattanooga, TN",14761,"SFB","Sanford, FL",1525,1838,193,10,1848,1957,7,1655,2004,189,0,NULL,0,"N",90,86,69,1,490,189,0,0,0,0,NULL,NULL,NULL,NULL
"2018-10-01","G4","G4","G4",1803,"G4","272NV",1803,10994,"CHS","Charleston, SC",12339,"IND","Indianapolis, IN",2055,2047,-8,12,2059,2219,6,2241,2225,-16,0,NULL,0,"N",106,98,80,1,585,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-08-01","G4","G4","G4",168,"G4","217NV",168,10466,"AZA","Phoenix, AZ",13367,"MLI","Moline, IL",610,600,-10,11,611,1058,5,1105,1103,-2,0,NULL,0,"N",175,183,167,1,1288,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-07-01","G4","G4","G4",1730,"G4","216NV",1730,11697,"FLL","Fort Lauderdale, FL",15412,"TYS","Knoxville, TN",1213,1202,-11,14,1216,1354,4,1410,1358,-12,0,NULL,0,"N",117,116,98,1,708,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-09-01","G4","G4","G4",1301,"G4","262NV",1301,14761,"SFB","Sanford, FL",11193,"CVG","Cincinnati, OH",1508,1501,-7,9,1510,1650,9,1713,1659,-14,0,NULL,0,"N",125,118,100,1,735,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-05-01","G4","G4","G4",144,"G4","215NV",144,10466,"AZA","Phoenix, AZ",10620,"BIL","Billings, MT",1415,1402,-13,9,1411,1700,4,1730,1704,-26,0,NULL,0,"N",135,122,109,1,878,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-11-01","G4","G4","G4",2134,"G4","414NV",2134,14761,"SFB","Sanford, FL",11637,"FAR","Fargo, ND",815,815,0,19,834,1039,7,1105,1046,-19,0,NULL,0,"N",230,211,185,1,1508,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-11-01","G4","G4","G4",2173,"G4","417NV",2173,14259,"PSM","Portsmouth, NH",14761,"SFB","Sanford, FL",1929,1913,-16,9,1922,2159,7,2241,2206,-35,0,NULL,0,"N",192,173,157,1,1144,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-08-01","G4","G4","G4",828,"G4","272NV",828,14112,"PIE","St. Petersburg, FL",11996,"GSP","Greer, SC",1919,1950,31,9,1959,2109,5,2050,2114,24,0,NULL,0,"N",91,84,70,1,482,0,0,0,0,24,NULL,NULL,NULL,NULL
"2018-12-01","G4","G4","G4",1661,"G4","262NV",1661,11823,"FWA","Fort Wayne, IN",14082,"PGD","Punta Gorda, FL",1850,1836,-14,14,1850,2114,7,2120,2121,1,0,NULL,0,"N",150,165,144,1,986,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-01-01","G4","G4","G4",895,"G4","219NV",895,12265,"IAG","Niagara Falls, NY",14112,"PIE","St. Petersburg, FL",1158,1158,0,21,1219,1453,6,1450,1459,9,0,"",0,"N",172,181,154,1,1069,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL
"2018-11-01","G4","G4","G4",181,"G4","332NV",181,10423,"AUS","Austin, TX",10140,"ABQ","Albuquerque, NM",1447,1450,3,18,1508,1544,5,1537,1549,12,0,NULL,0,"N",110,119,96,1,619,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-10-01","G4","G4","G4",169,"G4","301NV",169,11603,"EUG","Eugene, OR",12889,"LAS","Las Vegas, NV",2008,2004,-4,9,2013,2152,9,2205,2201,-4,0,NULL,0,"N",117,117,99,1,700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-06-01","G4","G4","G4",1712,"G4","216NV",1712,11697,"FLL","Fort Lauderdale, FL",11996,"GSP","Greer, SC",600,554,-6,12,606,730,6,750,736,-14,0,NULL,0,"N",110,102,84,1,620,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-04-01","G4","G4","G4",1247,"G4","223NV",1247,14783,"SGF","Springfield, MO",14112,"PIE","St. Petersburg, FL",1728,1821,53,28,1849,2131,6,2036,2137,61,0,NULL,0,"N",128,136,102,1,895,0,29,8,0,24,NULL,NULL,NULL,NULL
"2018-06-01","G4","G4","G4",1713,"G4","216NV",1713,11996,"GSP","Greer, SC",11697,"FLL","Fort Lauderdale, FL",835,825,-10,12,837,1004,4,1023,1008,-15,0,NULL,0,"N",108,103,87,1,620,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-12-01","G4","G4","G4",1304,"G4","251NV",1304,11193,"CVG","Cincinnati, OH",14082,"PGD","Punta Gorda, FL",1745,1743,-2,8,1751,1947,7,2001,1954,-7,0,NULL,0,"N",136,131,116,1,850,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-08-01","G4","G4","G4",299,"G4","217NV",299,13796,"OAK","Oakland, CA",10466,"AZA","Phoenix, AZ",1630,1623,-7,11,1634,1812,4,1821,1816,-5,0,NULL,0,"N",111,113,98,1,668,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-12-01","G4","G4","G4",1658,"G4","258NV",1658,14082,"PGD","Punta Gorda, FL",14696,"SBN","South Bend, IN",1513,1519,6,12,1531,1740,9,1754,1749,-5,0,NULL,0,"N",161,150,129,1,1049,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-07-01","G4","G4","G4",1704,"G4","216NV",1704,11697,"FLL","Fort Lauderdale, FL",13244,"MEM","Memphis, TN",1744,1740,-4,11,1751,1848,9,1908,1857,-11,0,NULL,0,"N",144,137,117,1,851,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-03-01","G4","G4","G4",894,"G4","219NV",894,14112,"PIE","St. Petersburg, FL",12265,"IAG","Niagara Falls, NY",800,758,-2,12,810,1031,9,1049,1040,-9,0,NULL,0,"N",169,162,141,1,1069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-03-01","G4","G4","G4",1610,"G4","226NV",1610,14082,"PGD","Punta Gorda, FL",14730,"SDF","Louisville, KY",1603,1545,-18,14,1559,1756,4,1814,1800,-14,0,NULL,0,"N",131,135,117,1,806,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-04-01","G4","G4","G4",184,"G4","301NV",184,10466,"AZA","Phoenix, AZ",11603,"EUG","Eugene, OR",740,733,-7,11,744,954,7,1022,1001,-21,0,NULL,0,"N",162,148,130,1,971,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-11-01","G4","G4","G4",74,"G4","332NV",74,12889,"LAS","Las Vegas, NV",10140,"ABQ","Albuquerque, NM",810,801,-9,24,825,1033,4,1036,1037,1,0,NULL,0,"N",86,96,68,1,486,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-10-01","G4","G4","G4",334,"G4","313NV",334,12892,"LAX","Los Angeles, CA",15370,"TUL","Tulsa, OK",700,655,-5,19,714,1147,4,1203,1151,-12,0,NULL,0,"N",183,176,153,1,1283,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-02-01","G4","G4","G4",815,"G4","227NV",815,14492,"RDU","Raleigh/Durham, NC",14112,"PIE","St. Petersburg, FL",1622,1645,23,14,1659,1828,5,1819,1833,14,0,NULL,0,"N",117,108,89,1,595,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-07-01","G4","G4","G4",1691,"G4","222NV",1691,12339,"IND","Indianapolis, IN",14082,"PGD","Punta Gorda, FL",730,740,10,13,753,953,4,950,957,7,0,NULL,0,"N",140,137,120,1,916,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-05-01","G4","G4","G4",183,"G4","229NV",183,11986,"GRR","Grand Rapids, MI",10466,"AZA","Phoenix, AZ",1835,1826,-9,19,1845,1940,4,1933,1944,11,0,NULL,0,"N",238,258,235,1,1561,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-12-01","G4","G4","G4",1592,"G4","253NV",1592,14082,"PGD","Punta Gorda, FL",13342,"MKE","Milwaukee, WI",1416,1420,4,12,1432,1556,7,1614,1603,-11,0,NULL,0,"N",178,163,144,1,1154,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
