"fl_date","mkt_unique_carrier","branded_code_share","mkt_carrier","mkt_carrier_fl_num","op_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","crs_dep_time","dep_time","dep_delay","taxi_out","wheels_off","wheels_on","taxi_in","crs_arr_time","arr_time","arr_delay","cancelled","cancellation_code","diverted","dup","crs_elapsed_time","actual_elapsed_time","air_time","flights","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","first_dep_time","total_add_gtime","longest_add_gtime","no_name"
"2019-10-01","HA","HA","HA",2,"HA","N395HA",2,12173,"HNL","Honolulu, HI",12892,"LAX","Los Angeles, CA",1435,1438,3,21,1459,2253,8,2300,2301,1,0,NULL,0,"N",325,323,294,1,2556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-02-01","HA","HA","HA",201,"HA","N494HA",201,12402,"ITO","Hilo, HI",12173,"HNL","Honolulu, HI",1116,1117,1,9,1126,1204,6,1210,1210,0,0,NULL,0,"N",54,53,38,1,216,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-06-01","HA","HA","HA",116,"HA","N491HA",116,12173,"HNL","Honolulu, HI",13830,"OGG","Kahului, HI",538,535,-3,9,544,606,6,617,612,-5,0,NULL,0,"N",39,37,22,1,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-12-01","HA","HA","HA",68,"HA","N212HA",68,12982,"LIH","Lihue, HI",13796,"OAK","Oakland, CA",1425,1421,-4,9,1430,2137,5,2150,2142,-8,0,NULL,0,"N",325,321,307,1,2457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-01","HA","HA","HA",286,"HA","N491HA",286,12173,"HNL","Honolulu, HI",13830,"OGG","Kahului, HI",1240,1239,-1,15,1254,1316,7,1321,1323,2,0,NULL,0,"N",41,44,22,1,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-11-01","HA","HA","HA",347,"HA","N477HA",347,12758,"KOA","Kona, HI",12173,"HNL","Honolulu, HI",1654,1700,6,9,1709,1739,12,1741,1751,10,0,NULL,0,"N",47,51,30,1,163,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-03-01","HA","HA_CODESHARE","HA",684,"EM","N805HC",684,12173,"HNL","Honolulu, HI",13034,"LNY","Lanai, HI",1846,1911,25,8,1919,1938,3,1920,1941,21,0,NULL,0,"N",34,30,19,1,72,0,0,0,0,21,NULL,NULL,NULL,NULL
"2019-08-01","HA","HA","HA",1,"HA","N385HA",1,12892,"LAX","Los Angeles, CA",12173,"HNL","Honolulu, HI",700,656,-4,14,710,941,8,945,949,4,0,NULL,0,"N",345,353,331,1,2556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-09-01","HA","HA","HA",2,"HA","N360HA",2,12173,"HNL","Honolulu, HI",12892,"LAX","Los Angeles, CA",1435,1437,2,15,1452,2241,42,2310,2323,13,0,NULL,0,"N",335,346,289,1,2556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-02-01","HA","HA","HA",204,"HA","N495HA",204,12982,"LIH","Lihue, HI",12173,"HNL","Honolulu, HI",1040,1033,-7,6,1039,1102,5,1115,1107,-8,0,NULL,0,"N",35,34,23,1,102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
