"fl_date","mkt_unique_carrier","branded_code_share","mkt_carrier","mkt_carrier_fl_num","op_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","crs_dep_time","dep_time","dep_delay","taxi_out","wheels_off","wheels_on","taxi_in","crs_arr_time","arr_time","arr_delay","cancelled","cancellation_code","diverted","dup","crs_elapsed_time","actual_elapsed_time","air_time","flights","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","first_dep_time","total_add_gtime","longest_add_gtime","no_name"
"2019-11-01","NK","NK","NK",1071,"NK","N915NK",1071,13495,"MSY","New Orleans, LA",11292,"DEN","Denver, CO",600,555,-5,11,606,747,6,802,753,-9,0,NULL,0,"N",182,178,161,1,1062,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-04-01","NK","NK","NK",440,"NK","N628NK",440,11697,"FLL","Fort Lauderdale, FL",11042,"CLE","Cleveland, OH",1600,1825,145,20,1845,2101,9,1855,2110,135,0,NULL,0,"N",175,165,136,1,1062,13,0,1,0,121,NULL,NULL,NULL,NULL
"2019-10-01","NK","NK","NK",1508,"NK","N637NK",1508,11697,"FLL","Fort Lauderdale, FL",15304,"TPA","Tampa, FL",710,705,-5,18,723,757,6,812,803,-9,0,NULL,0,"N",62,58,34,1,197,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-09-01","NK","NK","NK",808,"NK","N612NK",808,12889,"LAS","Las Vegas, NV",10397,"ATL","Atlanta, GA",829,849,20,15,904,1532,7,1535,1539,4,0,NULL,0,"N",246,230,208,1,1747,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-05-01","NK","NK","NK",1005,"NK","N682NK",1005,14100,"PHL","Philadelphia, PA",11697,"FLL","Fort Lauderdale, FL",700,654,-6,19,713,926,6,947,932,-15,0,NULL,0,"N",167,158,133,1,992,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-04-01","NK","NK","NK",433,"NK","N670NK",433,10721,"BOS","Boston, MA",13204,"MCO","Orlando, FL",1101,1147,46,13,1200,1506,28,1418,1534,76,0,NULL,0,"N",197,227,186,1,1121,0,0,76,0,0,NULL,NULL,NULL,NULL
"2019-11-01","NK","NK","NK",1070,"NK","N617NK",1070,11292,"DEN","Denver, CO",13495,"MSY","New Orleans, LA",1209,1207,-2,9,1216,1517,5,1554,1522,-32,0,NULL,0,"N",165,135,121,1,1062,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-09-01","NK","NK","NK",810,"NK","N638NK",810,13495,"MSY","New Orleans, LA",11433,"DTW","Detroit, MI",1200,NULL,NULL,NULL,NULL,NULL,NULL,1531,NULL,NULL,1,"B",0,"N",151,NULL,NULL,1,926,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-02-01","NK","NK","NK",797,"NK","N609NK",797,10721,"BOS","Boston, MA",15304,"TPA","Tampa, FL",1530,1526,-4,13,1539,1840,7,1902,1847,-15,0,NULL,0,"N",212,201,181,1,1185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-07-01","NK","NK","NK",725,"NK","N602NK",725,13204,"MCO","Orlando, FL",12889,"LAS","Las Vegas, NV",1815,1825,10,10,1835,1944,9,2004,1953,-11,0,NULL,0,"N",289,268,249,1,2039,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-01","NK","NK","NK",812,"NK","N606NK",812,11298,"DFW","Dallas/Fort Worth, TX",15304,"TPA","Tampa, FL",823,816,-7,11,827,1123,9,1145,1132,-13,0,NULL,0,"N",142,136,116,1,929,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-05-01","NK","NK","NK",1122,"NK","N524NK",1122,11697,"FLL","Fort Lauderdale, FL",12451,"JAX","Jacksonville, FL",2159,2154,-5,9,2203,2251,7,2322,2258,-24,0,NULL,0,"N",83,64,48,1,319,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-03-04","NK","NK","NK",1025,"NK","N508NK",1025,10721,"BOS","Boston, MA",10821,"BWI","Baltimore, MD",712,NULL,NULL,NULL,NULL,NULL,NULL,850,NULL,NULL,1,"B",0,"N",98,NULL,NULL,1,369,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-06-01","NK","NK","NK",388,"NK","N686NK",388,11433,"DTW","Detroit, MI",11697,"FLL","Fort Lauderdale, FL",1912,2013,61,21,2034,2300,6,2207,2306,59,0,NULL,0,"N",175,173,146,1,1127,0,36,1,0,22,NULL,NULL,NULL,NULL
"2019-12-01","NK","NK","NK",1167,"NK","N903NK",1167,13930,"ORD","Chicago, IL",14107,"PHX","Phoenix, AZ",1440,1514,34,25,1539,1804,6,1738,1810,32,0,NULL,0,"N",238,236,205,1,1440,0,0,11,0,21,NULL,NULL,NULL,NULL
"2019-02-01","NK","NK","NK",792,"NK","N659NK",792,13577,"MYR","Myrtle Beach, SC",11618,"EWR","Newark, NJ",1729,1725,-4,8,1733,1856,6,1924,1902,-22,0,NULL,0,"N",115,97,83,1,550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-11-01","NK","NK","NK",675,"NK","N628NK",675,10397,"ATL","Atlanta, GA",13204,"MCO","Orlando, FL",600,819,139,11,830,931,8,730,939,129,0,NULL,0,"N",90,80,61,1,404,129,0,0,0,0,NULL,NULL,NULL,NULL
"2019-10-01","NK","NK","NK",1506,"NK","N506NK",1506,11697,"FLL","Fort Lauderdale, FL",13204,"MCO","Orlando, FL",925,919,-6,15,934,1006,26,1033,1032,-1,0,NULL,0,"N",68,73,32,1,177,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-01","NK","NK","NK",827,"NK","N606NK",827,10529,"BDL","Hartford, CT",14635,"RSW","Fort Myers, FL",1610,1553,-17,8,1601,1904,9,1933,1913,-20,0,NULL,0,"N",203,200,183,1,1180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
