"fl_date","mkt_unique_carrier","branded_code_share","mkt_carrier","mkt_carrier_fl_num","op_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","crs_dep_time","dep_time","dep_delay","taxi_out","wheels_off","wheels_on","taxi_in","crs_arr_time","arr_time","arr_delay","cancelled","cancellation_code","diverted","dup","crs_elapsed_time","actual_elapsed_time","air_time","flights","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","first_dep_time","total_add_gtime","longest_add_gtime","no_name"
"2018-03-02","UA","UA_CODESHARE","UA",3490,"YX",NULL,3490,11618,"EWR","Newark, NJ",13244,"MEM","Memphis, TN",1900,NULL,NULL,NULL,NULL,NULL,NULL,2110,NULL,NULL,1,"B",0,"N",190,NULL,NULL,1,946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-04-01","UA","UA","UA",1733,"UA","N69835",1733,11292,"DEN","Denver, CO",11618,"EWR","Newark, NJ",2350,2345,-5,10,2355,447,7,529,454,-35,0,NULL,0,"N",219,189,172,1,1605,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-08-01","UA","UA","UA",1178,"UA","N470UA",1178,13930,"ORD","Chicago, IL",13487,"MSP","Minneapolis, MN",1532,2044,312,42,2126,2235,4,1708,2239,331,0,NULL,0,"N",96,115,69,1,334,120,0,19,0,192,"1531.0",97,97,NULL
"2018-04-01","UA","UA","UA",1790,"UA","N469UA",1790,11697,"FLL","Fort Lauderdale, FL",13930,"ORD","Chicago, IL",1912,1905,-7,17,1922,2102,4,2129,2106,-23,0,NULL,0,"N",197,181,160,1,1182,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-10-01","UA","UA_CODESHARE","UA",4120,"EV","N15983",4120,12953,"LGA","New York, NY",11042,"CLE","Cleveland, OH",825,821,-4,16,837,948,6,1012,954,-18,0,NULL,0,"N",107,93,71,1,419,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-12-01","UA","UA_CODESHARE","UA",4183,"EV","N13988",4183,13930,"ORD","Chicago, IL",13851,"OKC","Oklahoma City, OK",1015,1008,-7,36,1044,1237,7,1244,1244,0,0,NULL,0,"N",149,156,113,1,693,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-09-01","UA","UA_CODESHARE","UA",3636,"YX","N862RW",3636,11540,"ELP","El Paso, TX",13930,"ORD","Chicago, IL",1255,1318,23,12,1330,1703,42,1647,1745,58,0,NULL,0,"N",172,207,153,1,1236,0,0,35,0,23,NULL,NULL,NULL,NULL
"2018-01-01","UA","UA_CODESHARE","UA",3403,"YX","N733YX",3403,11066,"CMH","Columbus, OH",11292,"DEN","Denver, CO",1635,1630,-5,9,1639,1733,9,1805,1742,-23,0,"",0,"N",210,192,174,1,1154,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL
"2018-11-01","UA","UA_CODESHARE","UA",6284,"YV","N88301",6284,15370,"TUL","Tulsa, OK",12266,"IAH","Houston, TX",905,905,0,12,917,1038,11,1039,1049,10,0,NULL,0,"N",94,104,81,1,429,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-01-01","UA","UA_CODESHARE","UA",3401,"YX","N728YX",3401,11057,"CLT","Charlotte, NC",11618,"EWR","Newark, NJ",1115,1115,0,20,1135,1244,8,1310,1252,-18,0,"",0,"N",115,97,69,1,529,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL
