"fl_date","mkt_unique_carrier","branded_code_share","mkt_carrier","mkt_carrier_fl_num","op_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","crs_dep_time","dep_time","dep_delay","taxi_out","wheels_off","wheels_on","taxi_in","crs_arr_time","arr_time","arr_delay","cancelled","cancellation_code","diverted","dup","crs_elapsed_time","actual_elapsed_time","air_time","flights","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","first_dep_time","total_add_gtime","longest_add_gtime","no_name"
"2018-01-01","VX","VX","VX",1060,"VX","N283VA",1060,12173,"HNL","Honolulu, HI",12892,"LAX","Los Angeles, CA",2230,2227,-3,26,2253,551,6,607,557,-10,0,"",0,"N",337,330,298,1,2556,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL
"2018-02-01","VX","VX","VX",1011,"VX","N281VA",1011,12478,"JFK","New York, NY",14771,"SFO","San Francisco, CA",730,724,-6,19,743,1052,8,1105,1100,-5,0,NULL,0,"N",395,396,369,1,2586,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-01-01","VX","VX","VX",1050,"VX","N921VA",1050,12173,"HNL","Honolulu, HI",14771,"SFO","San Francisco, CA",1520,1511,-9,17,1528,2219,7,2232,2226,-6,0,"",0,"N",312,315,291,1,2398,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL
"2018-02-01","VX","VX","VX",1001,"VX","N632VA",1001,14771,"SFO","San Francisco, CA",11278,"DCA","Washington, DC",800,758,-2,17,815,1540,6,1605,1546,-19,0,NULL,0,"N",305,288,265,1,2442,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-03-01","VX","VX","VX",1041,"VX","N284VA",1041,14771,"SFO","San Francisco, CA",12758,"KOA","Kona, HI",1130,1126,-4,30,1156,1511,6,1515,1517,2,0,NULL,0,"N",345,351,315,1,2367,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-03-01","VX","VX","VX",1128,"VX","N842VA",1128,12892,"LAX","Los Angeles, CA",14100,"PHL","Philadelphia, PA",2052,2049,-3,16,2105,423,4,509,427,-42,0,NULL,0,"N",317,278,258,1,2402,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-03-01","VX","VX","VX",1029,"VX","N841VA",1029,12478,"JFK","New York, NY",14771,"SFO","San Francisco, CA",1859,2018,79,48,2106,19,28,2253,47,114,0,NULL,0,"N",414,449,373,1,2586,0,0,114,0,0,NULL,NULL,NULL,NULL
"2018-03-01","VX","VX","VX",1027,"VX","N840VA",1027,12478,"JFK","New York, NY",14771,"SFO","San Francisco, CA",1645,1953,188,47,2040,2349,5,2035,2354,199,0,NULL,0,"N",410,421,369,1,2586,0,0,199,0,0,NULL,NULL,NULL,NULL
"2018-02-01","VX","VX","VX",1012,"VX","N922VA",1012,14771,"SFO","San Francisco, CA",12478,"JFK","New York, NY",700,652,-8,13,705,1436,8,1534,1444,-50,0,NULL,0,"N",334,292,271,1,2586,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-03-01","VX","VX","VX",1034,"VX","N839VA",1034,14771,"SFO","San Francisco, CA",12478,"JFK","New York, NY",2314,35,81,20,55,841,8,744,849,65,0,NULL,0,"N",330,314,286,1,2586,65,0,0,0,0,NULL,NULL,NULL,NULL
"2018-01-01","VX","VX","VX",1057,"VX","N921VA",1057,12892,"LAX","Los Angeles, CA",12173,"HNL","Honolulu, HI",1000,1003,3,23,1026,1346,4,1415,1350,-25,0,"",0,"N",375,347,320,1,2556,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL
"2018-01-01","VX","VX","VX",1051,"VX","N283VA",1051,14771,"SFO","San Francisco, CA",12173,"HNL","Honolulu, HI",1730,1718,-12,21,1739,2034,6,2126,2040,-46,0,"",0,"N",356,322,295,1,2398,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL
"2018-02-01","VX","VX","VX",1002,"VX","N632VA",1002,11278,"DCA","Washington, DC",14771,"SFO","San Francisco, CA",1711,1701,-10,16,1717,2008,5,2028,2013,-15,0,NULL,0,"N",377,372,351,1,2442,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-02-01","VX","VX","VX",1180,"VX","N837VA",1180,14771,"SFO","San Francisco, CA",11618,"EWR","Newark, NJ",940,936,-4,21,957,1735,7,1810,1742,-28,0,NULL,0,"N",330,306,278,1,2565,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-01-01","VX","VX","VX",1166,"VX","N632VA",1166,12892,"LAX","Los Angeles, CA",11618,"EWR","Newark, NJ",1355,1348,-7,13,1401,2142,10,2203,2152,-11,0,"",0,"N",308,304,281,1,2454,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL
