"fl_date","mkt_unique_carrier","branded_code_share","mkt_carrier","mkt_carrier_fl_num","op_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","crs_dep_time","dep_time","dep_delay","taxi_out","wheels_off","wheels_on","taxi_in","crs_arr_time","arr_time","arr_delay","cancelled","cancellation_code","diverted","dup","crs_elapsed_time","actual_elapsed_time","air_time","flights","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","first_dep_time","total_add_gtime","longest_add_gtime","no_name"
"2019-08-01","WN","WN","WN",2512,"WN","N7708E",2512,10140,"ABQ","Albuquerque, NM",14107,"PHX","Phoenix, AZ",600,556,-4,10,606,557,4,615,601,-14,0,NULL,0,"N",75,65,51,1,328,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-07-01","WN","WN","WN",1315,"WN","N8301J",1315,13204,"MCO","Orlando, FL",10821,"BWI","Baltimore, MD",1020,1022,2,18,1040,1223,4,1235,1227,-8,0,NULL,0,"N",135,125,103,1,787,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-11-01","WN","WN","WN",28,"WN","N8614M",28,10140,"ABQ","Albuquerque, NM",13232,"MDW","Chicago, IL",1625,1628,3,8,1636,1941,6,2000,1947,-13,0,NULL,0,"N",155,139,125,1,1121,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-03-01","WN","WN","WN",314,"WN","N7851A",314,12892,"LAX","Los Angeles, CA",13796,"OAK","Oakland, CA",1530,NULL,NULL,NULL,NULL,NULL,NULL,1700,NULL,NULL,1,"A",0,"N",90,NULL,NULL,1,337,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-02-02","WN","WN","WN",4109,"WN","N7865A",4109,13204,"MCO","Orlando, FL",10599,"BHM","Birmingham, AL",1630,NULL,NULL,NULL,NULL,NULL,NULL,1705,NULL,NULL,1,"A",0,"N",95,NULL,NULL,1,479,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-07-01","WN","WN","WN",2469,"WN","N756SA",2469,13204,"MCO","Orlando, FL",10821,"BWI","Baltimore, MD",630,627,-3,11,638,825,9,835,834,-1,0,NULL,0,"N",125,127,107,1,787,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-05-01","WN","WN","WN",1451,"WN","N482WN",1451,12889,"LAS","Las Vegas, NV",13232,"MDW","Chicago, IL",1745,1801,16,8,1809,2258,2,2315,2300,-15,0,NULL,0,"N",210,179,169,1,1521,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-05-01","WN","WN","WN",1253,"WN","N8511K",1253,12889,"LAS","Las Vegas, NV",14107,"PHX","Phoenix, AZ",2010,2040,30,14,2054,2135,22,2115,2157,42,0,NULL,0,"N",65,77,41,1,255,30,0,12,0,0,NULL,NULL,NULL,NULL
"2019-08-01","WN","WN","WN",679,"WN","N8520Q",679,10140,"ABQ","Albuquerque, NM",10821,"BWI","Baltimore, MD",625,628,3,10,638,1205,2,1210,1207,-3,0,NULL,0,"N",225,219,207,1,1670,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-06-01","WN","WN","WN",3172,"WN",NULL,3172,10821,"BWI","Baltimore, MD",13204,"MCO","Orlando, FL",1800,NULL,NULL,NULL,NULL,NULL,NULL,2020,NULL,NULL,1,"A",0,"N",140,NULL,NULL,1,787,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-10-01","WN","WN","WN",100,"WN","N8577Z",100,10140,"ABQ","Albuquerque, NM",10821,"BWI","Baltimore, MD",740,740,0,12,752,1305,3,1325,1308,-17,0,NULL,0,"N",225,208,193,1,1670,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-09-01","WN","WN","WN",950,"WN","N7845A",950,10140,"ABQ","Albuquerque, NM",12889,"LAS","Las Vegas, NV",1420,1415,-5,9,1424,1435,6,1455,1441,-14,0,NULL,0,"N",95,86,71,1,486,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-01","WN","WN","WN",172,"WN","N925WN",172,10140,"ABQ","Albuquerque, NM",11259,"DAL","Dallas, TX",1930,1947,17,28,2015,2241,4,2205,2245,40,0,NULL,0,"N",95,118,86,1,580,0,7,23,0,10,NULL,NULL,NULL,NULL
"2019-02-01","WN","WN","WN",1288,"WN","N930WN",1288,10140,"ABQ","Albuquerque, NM",14107,"PHX","Phoenix, AZ",1930,1935,5,10,1945,2037,6,2050,2043,-7,0,NULL,0,"N",80,68,52,1,328,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-01","WN","WN","WN",2518,"WN","N704SW",2518,10140,"ABQ","Albuquerque, NM",14107,"PHX","Phoenix, AZ",1200,1228,28,19,1247,1239,4,1215,1243,28,0,NULL,0,"N",75,75,52,1,328,10,0,0,0,18,NULL,NULL,NULL,NULL
"2019-09-01","WN","WN","WN",2643,"WN","N7723E",2643,10140,"ABQ","Albuquerque, NM",12191,"HOU","Houston, TX",635,634,-1,7,641,925,2,940,927,-13,0,NULL,0,"N",125,113,104,1,759,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-05-01","WN","WN","WN",1698,"WN","N7706A",1698,12889,"LAS","Las Vegas, NV",13232,"MDW","Chicago, IL",1110,1117,7,11,1128,1620,4,1640,1624,-16,0,NULL,0,"N",210,187,172,1,1521,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-09-01","WN","WN","WN",797,"WN","N774SW",797,10140,"ABQ","Albuquerque, NM",12889,"LAS","Las Vegas, NV",940,939,-1,8,947,955,4,1010,959,-11,0,NULL,0,"N",90,80,68,1,486,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-06-01","WN","WN","WN",3501,"WN","N459WN",3501,10140,"ABQ","Albuquerque, NM",13796,"OAK","Oakland, CA",550,555,5,10,605,705,5,715,710,-5,0,NULL,0,"N",145,135,120,1,889,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-12-01","WN","WN","WN",4493,"WN","N723SW",4493,10140,"ABQ","Albuquerque, NM",10423,"AUS","Austin, TX",1715,1739,24,11,1750,2006,6,1955,2012,17,0,NULL,0,"N",100,93,76,1,619,4,0,0,0,13,NULL,NULL,NULL,NULL
"2019-09-01","WN","WN","WN",2513,"WN","N743SW",2513,10397,"ATL","Atlanta, GA",10693,"BNA","Nashville, TN",1235,1232,-3,11,1243,1221,5,1245,1226,-19,0,NULL,0,"N",70,54,38,1,214,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-03-01","WN","WN","WN",981,"WN","N496WN",981,14122,"PIT","Pittsburgh, PA",11697,"FLL","Fort Lauderdale, FL",910,905,-5,11,916,1138,4,1200,1142,-18,0,NULL,0,"N",170,157,142,1,994,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-01","WN","WN","WN",1230,"WN","N732SW",1230,10140,"ABQ","Albuquerque, NM",12889,"LAS","Las Vegas, NV",655,NULL,NULL,NULL,NULL,NULL,NULL,730,NULL,NULL,1,"B",0,"N",95,NULL,NULL,1,486,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-04-01","WN","WN","WN",361,"WN","N941WN",361,10279,"AMA","Amarillo, TX",11259,"DAL","Dallas, TX",1910,1903,-7,12,1915,2004,2,2020,2006,-14,0,NULL,0,"N",70,63,49,1,323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-03-01","WN","WN","WN",1083,"WN","N8678E",1083,14122,"PIT","Pittsburgh, PA",13204,"MCO","Orlando, FL",1430,1432,2,10,1442,1652,5,1645,1657,12,0,NULL,0,"N",135,145,130,1,834,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-03-01","WN","WN","WN",292,"WN","N762SW",292,14122,"PIT","Pittsburgh, PA",12191,"HOU","Houston, TX",1100,1054,-6,9,1103,1258,2,1325,1300,-25,0,NULL,0,"N",205,186,175,1,1131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-10-01","WN","WN","WN",2283,"WN","N7888A",2283,10140,"ABQ","Albuquerque, NM",10821,"BWI","Baltimore, MD",1425,1426,1,9,1435,1952,4,2015,1956,-19,0,NULL,0,"N",230,210,197,1,1670,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-02-01","WN","WN","WN",580,"WN","N240WN",580,10140,"ABQ","Albuquerque, NM",10821,"BWI","Baltimore, MD",1000,955,-5,8,1003,1528,41,1535,1609,34,0,NULL,0,"N",215,254,205,1,1670,0,0,34,0,0,NULL,NULL,NULL,NULL
"2019-10-01","WN","WN","WN",1885,"WN","N225WN",1885,10140,"ABQ","Albuquerque, NM",10423,"AUS","Austin, TX",1115,1121,6,13,1134,1359,4,1400,1403,3,0,NULL,0,"N",105,102,85,1,619,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-01","WN","WN","WN",45,"WN","N7811F",45,10140,"ABQ","Albuquerque, NM",11259,"DAL","Dallas, TX",1410,1430,20,49,1519,1736,4,1650,1740,50,0,NULL,0,"N",100,130,77,1,580,7,0,30,0,13,NULL,NULL,NULL,NULL
"2019-10-01","WN","WN","WN",27,"WN","N7726A",27,10140,"ABQ","Albuquerque, NM",11259,"DAL","Dallas, TX",940,940,0,14,954,1218,3,1220,1221,1,0,NULL,0,"N",100,101,84,1,580,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-04-01","WN","WN","WN",851,"WN","N958WN",851,13232,"MDW","Chicago, IL",11259,"DAL","Dallas, TX",1040,NULL,NULL,NULL,NULL,NULL,NULL,1255,NULL,NULL,1,"A",0,"N",135,NULL,NULL,1,793,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-12-02","WN","WN","WN",1277,"WN","N550WN",1277,14771,"SFO","San Francisco, CA",12892,"LAX","Los Angeles, CA",1240,NULL,NULL,NULL,NULL,NULL,NULL,1410,NULL,NULL,1,"C",0,"N",90,NULL,NULL,1,337,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-01","WN","WN","WN",136,"WN","N8676A",136,10140,"ABQ","Albuquerque, NM",11259,"DAL","Dallas, TX",605,603,-2,9,612,835,4,845,839,-6,0,NULL,0,"N",100,96,83,1,580,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-02-01","WN","WN","WN",481,"WN","N7834A",481,10140,"ABQ","Albuquerque, NM",11259,"DAL","Dallas, TX",1750,1746,-4,6,1752,2011,25,2030,2036,6,0,NULL,0,"N",100,110,79,1,580,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-11-01","WN","WN","WN",1817,"WN","N8554X",1817,10140,"ABQ","Albuquerque, NM",13796,"OAK","Oakland, CA",600,556,-4,13,609,711,5,725,716,-9,0,NULL,0,"N",145,140,122,1,889,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-07-01","WN","WN","WN",2319,"WN","N8681M",2319,13204,"MCO","Orlando, FL",10821,"BWI","Baltimore, MD",1215,1218,3,13,1231,1417,4,1430,1421,-9,0,NULL,0,"N",135,123,106,1,787,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-03-01","WN","WN","WN",1831,"WN","N7869A",1831,12953,"LGA","New York, NY",11259,"DAL","Dallas, TX",1505,NULL,NULL,NULL,NULL,NULL,NULL,1815,NULL,NULL,1,"A",0,"N",250,NULL,NULL,1,1381,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-07-01","WN","WN","WN",2335,"WN","N7885A",2335,13204,"MCO","Orlando, FL",10821,"BWI","Baltimore, MD",1345,1339,-6,14,1353,1538,9,1605,1547,-18,0,NULL,0,"N",140,128,105,1,787,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
