fl_date,mkt_unique_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,crs_elapsed_time,air_time,distance
2018-02-01,AA,3366,MQ,N233NN,3366,15016,STL,"St. Louis, MO",13930,ORD,"Chicago, IL",1145,1144,-1,10,1154,1252,11,1305,1303,-2,80,58,258
2018-10-01,AA,2863,EV,N613QX,2863,11298,DFW,"Dallas/Fort Worth, TX",11980,GRI,"Grand Island, NE",2120,2115,-5,19,2134,2251,4,2303,2255,-8,103,77,561
2018-06-01,AA,3315,MQ,N655AE,3315,12992,LIT,"Little Rock, AR",11298,DFW,"Dallas/Fort Worth, TX",852,843,-9,10,853,942,9,1025,951,-34,93,49,304
2018-01-01,AA,5476,OH,N503AE,5476,11278,DCA,"Washington, DC",13244,MEM,"Memphis, TN",1621,1855,154,12,1907,2009,3,1749,2012,143,148,122,762
2018-05-01,AA,3542,MQ,N542EA,3542,15096,SYR,"Syracuse, NY",13930,ORD,"Chicago, IL",1811,1808,-3,8,1816,1850,12,1924,1902,-22,133,94,607
2018-10-01,AA,2861,EV,N716EV,2861,10781,BTR,"Baton Rouge, LA",11298,DFW,"Dallas/Fort Worth, TX",1110,1136,26,10,1146,1247,10,1242,1257,15,92,61,383
2018-01-01,AA,5477,OH,N571NN,5477,11057,CLT,"Charlotte, NC",14730,SDF,"Louisville, KY",1950,1947,-3,22,2009,2110,5,2118,2115,-3,88,61,335
2018-11-01,AA,2756,AA,N824NN,2756,12266,IAH,"Houston, TX",13303,MIA,"Miami, FL",735,732,-3,29,801,1127,8,1110,1135,25,155,146,964
2018-02-01,AA,3403,MQ,N693AE,3403,13930,ORD,"Chicago, IL",14633,RST,"Rochester, MN",820,818,-2,56,914,1001,4,931,1005,34,71,47,268
2018-01-01,AA,5476,OH,N503AE,5476,13244,MEM,"Memphis, TN",11278,DCA,"Washington, DC",1819,2056,157,1,2057,2327,10,2119,2337,138,120,90,762
2018-04-01,AA,3325,MQ,N800AE,3325,15411,TYR,"Tyler, TX",11298,DFW,"Dallas/Fort Worth, TX",1813,1820,7,16,1836,1903,13,1915,1916,1,62,27,102
2018-02-01,AA,3366,MQ,N233NN,3366,13930,ORD,"Chicago, IL",15016,STL,"St. Louis, MO",1000,954,-6,18,1012,1105,3,1115,1108,-7,75,53,258
2018-07-01,AA,4400,YX,N136HQ,4400,11433,DTW,"Detroit, MI",14100,PHL,"Philadelphia, PA",702,658,-4,16,714,824,17,844,841,-3,102,70,453
