fl_date,day_of_the_week,Month,mkt_unique_carrier,origin,dest,crs_dep_time,taxi_out,taxi_in,crs_arr_time,air_time,distance,origin_city,origin_state,dest_city,dest_state,origin_weather_condn,origin_tempC,origin_windspeedMiles,origin_winddir16Point,origin_WindGustMiles,origin_WindChillC,origin_precipInches,origin_humidity,origin_visibilityMiles,origin_pressureInches,origin_DewPointC,origin_cloudcover,origin_uvIndex,dest_weather_condn,dest_tempC,dest_windspeedMiles,dest_winddir16Point,dest_WindGustMiles,dest_WindChillC,dest_precipInches,dest_humidity,dest_visibilityMiles,dest_pressureInches,dest_DewPointC,dest_cloudcover,dest_uvIndex
2018-02-01,Thursday,February,AA,STL,ORD,1145,10,11,1305,58,258,St. Louis, MO,Chicago, IL,Sunny,15,11,N,24,15,0.0,39,6,30,1,0,5,Sunny,-8,15,NW,17,-16,0.0,42,6,30,-18,0,2
2018-10-01,Monday,October,AA,DFW,GRI,2120,19,4,2303,77,561,Dallas/Fort Worth, TX,Grand Island, NE,Patchy rain possible,26,2,SE,4,26,0.0,74,5,30,21,17,1,Clear,14,6,ENE,9,14,0.0,65,6,30,8,8,1
2018-06-01,Friday,June,AA,LIT,DFW,852,10,9,1025,49,304,Little Rock, AR,Dallas/Fort Worth, TX,Moderate or heavy rain shower,23,4,W,8,23,0.1,94,4,30,22,41,5,Cloudy,23,10,S,15,23,0.0,92,6,30,22,70,5
2018-01-01,Monday,January,AA,DCA,MEM,1621,12,3,1749,122,762,Washington, DC,Memphis, TN,Overcast,-6,9,NW,10,-11,0.0,42,6,30,-17,91,1,Sunny,-7,10,NNE,11,-14,0.0,34,6,31,-20,0,2
2018-05-01,Tuesday,May,AA,SYR,ORD,1811,8,12,1924,94,607,Syracuse, NY,Chicago, IL,Clear,14,4,WSW,8,14,0.0,73,6,30,9,17,1,Clear,21,15,SSW,32,21,0.0,51,6,30,10,8,1
2018-10-01,Monday,October,AA,BTR,DFW,1110,10,10,1242,61,383,Baton Rouge, LA,Dallas/Fort Worth, TX,Fog,23,4,NE,7,23,0.0,97,0,30,22,100,5,Partly cloudy,28,7,SSW,8,28,0.0,64,6,30,21,57,7
2018-01-01,Monday,January,AA,CLT,SDF,1950,22,5,2118,61,335,Charlotte, NC,Louisville, KY,Clear,-4,4,NNW,6,-8,0.0,31,6,31,-19,0,1,Clear,-13,6,NNW,10,-20,0.0,45,6,31,-23,0,1
2018-11-01,Thursday,November,AA,IAH,MIA,735,29,8,1110,146,964,Houston, TX,Miami, FL,Partly cloudy,15,11,NW,16,13,0.0,84,6,30,12,47,4,Sunny,25,9,SE,13,25,0.0,71,6,30,20,0,7
2018-02-01,Thursday,February,AA,ORD,RST,820,56,4,931,47,268,Chicago, IL,Rochester, MN,Partly cloudy,-1,14,WNW,21,-8,0.0,66,6,30,-6,28,2,Partly cloudy,-19,16,NW,22,-30,0.0,79,6,30,-21,56,2
2018-01-01,Monday,January,AA,MEM,DCA,1819,1,10,2119,90,762,Memphis, TN,Washington, DC,Clear,-8,10,N,14,-15,0.0,23,6,31,-25,2,1,Cloudy,-8,7,WNW,12,-13,0.0,51,6,30,-16,79,1
2018-04-01,Sunday,April,AA,TYR,DFW,1813,16,13,1915,27,102,Tyler, TX,Dallas/Fort Worth, TX,Partly cloudy,21,5,SSW,10,21,0.0,87,6,30,19,48,1,Overcast,11,13,N,17,9,0.0,70,6,30,6,100,1
2018-02-01,Thursday,February,AA,ORD,STL,1000,18,3,1115,53,258,Chicago, IL,St. Louis, MO,Partly cloudy,-1,14,WNW,21,-8,0.0,66,6,30,-6,28,2,Sunny,15,11,N,24,15,0.0,39,6,30,1,0,5
2018-07-01,Sunday,July,AA,DTW,PHL,702,16,17,844,70,453,Detroit, MI,Philadelphia, PA,Sunny,27,5,S,6,27,0.0,79,6,30,23,0,7,Sunny,28,3,WNW,4,28,0.0,56,6,30,19,18,7
2018-08-01,Wednesday,August,AA,CLT,IAD,1329,13,6,1452,58,322,Charlotte, NC,Washington, DC,Moderate or heavy rain shower,28,6,SSW,7,28,0.1,71,4,30,22,41,6,Overcast,32,11,SSW,12,32,0.0,51,6,30,20,88,7
2018-05-01,Tuesday,May,AA,DFW,OKC,1845,12,5,1950,36,175,Dallas/Fort Worth, TX,Oklahoma City, OK,Light rain shower,23,12,SSE,18,23,0.0,85,6,30,20,100,1,Light rain shower,22,18,SSE,27,22,0.0,82,6,30,19,100,1
2018-10-01,Monday,October,AA,CLT,MKE,2215,20,5,2322,103,651,Charlotte, NC,Milwaukee, WI,Clear,23,2,SE,5,23,0.0,70,6,30,17,9,1,Mist,15,1,SSW,2,15,0.0,96,1,30,15,95,1
2018-07-01,Sunday,July,AA,PHL,SDF,1514,31,24,1724,87,576,Philadelphia, PA,Louisville, KY,Partly cloudy,39,3,SSW,4,39,0.0,24,6,30,15,33,9,Moderate or heavy rain shower,32,7,SSW,8,32,0.1,59,4,30,23,7,7
2018-11-01,Thursday,November,AA,LAX,ORD,1815,15,6,17,218,1744,Los Angeles, CA,Chicago, IL,Clear,27,4,WSW,5,27,0.0,33,6,30,10,0,1,Cloudy,10,7,NNW,12,9,0.0,64,6,30,4,87,1
2018-06-01,Friday,June,AA,DFW,LIT,2020,24,7,2134,61,304,Dallas/Fort Worth, TX,Little Rock, AR,Clear,34,8,SSE,12,34,0.0,49,6,30,22,0,1,Moderate or heavy rain shower,31,6,SE,10,31,0.1,70,4,30,25,31,1
